TERM1	INTERACTION	TERM2	KAPPA_SIMILARITY
GO:0030335	kappa	GO:0009986	0.15
GO:0030335	kappa	GO:0042692	0.075
GO:0030335	kappa	GO:0040012	0.66
GO:0030335	kappa	GO:0043410	0.18
GO:0030335	kappa	GO:0070374	0.18
GO:0030335	kappa	GO:0022612	0.079
GO:0016064	kappa	GO:0009897	0.098
GO:0016064	kappa	GO:0004896	0.035
GO:0016064	kappa	GO:0051410	-0.0022
GO:0016064	kappa	GO:0018212	0.047
GO:0016064	kappa	GO:0005604	-0.0091
GO:0016064	kappa	GO:0022610	-0.0032
GO:0016064	kappa	GO:0006956	0.41
GO:0016064	kappa	GO:0007160	-0.019
GO:0016064	kappa	GO:0006958	0.43
GO:0016064	kappa	GO:0044057	-0.0062
GO:0016064	kappa	GO:0034332	-0.015
GO:0016064	kappa	GO:0007155	-0.0031
GO:0016064	kappa	GO:0009743	0.03
GO:0016064	kappa	GO:0045177	-0.0085
GO:0016064	kappa	GO:0046903	0.0097
GO:0016064	kappa	GO:0045667	0.0032
GO:0016064	kappa	GO:0031252	-0.017
GO:0016064	kappa	GO:0002443	0.62
GO:0016064	kappa	GO:0070161	-0.01
GO:0016064	kappa	GO:0001763	0.012
GO:0016064	kappa	GO:0050707	0.11
GO:0016064	kappa	GO:0019932	-0.0014
GO:0016064	kappa	GO:0051272	0.024
GO:0016064	kappa	GO:0048870	0.017
GO:0016064	kappa	GO:0006935	0.012
GO:0016064	kappa	GO:0005516	-0.019
GO:0016064	kappa	GO:0006874	0.028
GO:0016064	kappa	GO:0005886	0.0061
GO:0016064	kappa	GO:0050776	0.14
GO:0016064	kappa	GO:0031012	-0.017
GO:0016064	kappa	GO:0019955	0.014
GO:0016064	kappa	GO:0004867	-0.0078
GO:0016064	kappa	GO:0050900	0.089
GO:0016064	kappa	GO:0004872	0.042
GO:0016064	kappa	GO:0055002	-0.019
GO:0016064	kappa	GO:0042330	0.012
GO:0016064	kappa	GO:0002682	0.099
GO:0016064	kappa	GO:0005509	-0.0044
GO:0016064	kappa	GO:0003013	-0.024
GO:0016064	kappa	GO:0055001	-0.02
GO:0016064	kappa	GO:0002009	0.003
GO:0016064	kappa	GO:0016324	-0.00061
GO:0016064	kappa	GO:0030054	-0.017
GO:0016064	kappa	GO:0009581	0.023
GO:0016064	kappa	GO:0002429	0.11
GO:0016064	kappa	GO:0015026	0.024
GO:0016064	kappa	GO:2000147	0.026
GO:0016064	kappa	GO:0060326	0.077
GO:0016064	kappa	GO:0005911	-0.011
GO:0016064	kappa	GO:0044420	-0.011
GO:0016064	kappa	GO:0004888	0.042
GO:0016064	kappa	GO:0003823	0.19
GO:0016064	kappa	GO:0019724	0.99
GO:0016064	kappa	GO:0004714	-0.0066
GO:0016064	kappa	GO:0050866	0.12
GO:0016064	kappa	GO:0050867	0.16
GO:0016064	kappa	GO:0070372	0.057
GO:0016064	kappa	GO:0014066	0.0098
GO:0016064	kappa	GO:2000145	0.021
GO:0016064	kappa	GO:0043062	-0.0071
GO:0016064	kappa	GO:0007631	-0.0066
GO:0016064	kappa	GO:0050778	0.16
GO:0016064	kappa	GO:0004950	-0.0046
GO:0016064	kappa	GO:0038023	0.037
GO:0016064	kappa	GO:0050663	0.1
GO:0016064	kappa	GO:0002253	0.13
GO:0016064	kappa	GO:0051270	0.016
GO:0016064	kappa	GO:0007416	-0.007
GO:0016064	kappa	GO:0072376	0.39
GO:0016064	kappa	GO:0032101	0.11
GO:0016064	kappa	GO:0030334	0.025
GO:0016064	kappa	GO:1901681	-0.015
GO:0016064	kappa	GO:0050808	-0.014
GO:0016064	kappa	GO:0045202	-0.026
GO:0016064	kappa	GO:0030155	0.0086
GO:0016064	kappa	GO:0007186	-0.0077
GO:0016064	kappa	GO:0005201	-0.005
GO:0016064	kappa	GO:0061138	0.013
GO:0016064	kappa	GO:0006955	0.12
GO:0016064	kappa	GO:0007528	-0.0078
GO:0016064	kappa	GO:0002675	0.027
GO:0016064	kappa	GO:0043616	-0.0037
GO:0016064	kappa	GO:0072503	0.026
GO:0016064	kappa	GO:0051674	0.017
GO:0016064	kappa	GO:0048747	-0.017
GO:0016064	kappa	GO:0019838	-0.012
GO:0016064	kappa	GO:0040017	0.037
GO:0016064	kappa	GO:0071346	0.049
GO:0016064	kappa	GO:0045216	-0.02
GO:0016064	kappa	GO:0051046	0.044
GO:0016064	kappa	GO:0005178	0.03
GO:0016064	kappa	GO:0005887	0.031
GO:0016064	kappa	GO:0005913	-0.0091
GO:0016064	kappa	GO:0051249	0.16
GO:0016064	kappa	GO:0004871	0.021
GO:0016064	kappa	GO:0060333	0.057
GO:0016064	kappa	GO:0070160	-0.014
GO:0016064	kappa	GO:0016337	0.0016
GO:0016064	kappa	GO:0048729	-0.0017
GO:0016064	kappa	GO:0014068	0.015
GO:0016064	kappa	GO:0002250	0.62
GO:0016064	kappa	GO:0001637	-0.0046
GO:0016064	kappa	GO:0002768	0.088
GO:0016064	kappa	GO:0030198	-0.0071
GO:0016064	kappa	GO:0050851	0.031
GO:0016064	kappa	GO:0031032	-0.0094
GO:0016064	kappa	GO:0031226	0.029
GO:0016064	kappa	GO:0007600	-0.012
GO:0016064	kappa	GO:0055074	0.027
GO:0016064	kappa	GO:0001944	-0.012
GO:0016064	kappa	GO:0090257	-0.017
GO:0016064	kappa	GO:0002764	0.082
GO:0016064	kappa	GO:0001653	-0.0088
GO:0016064	kappa	GO:0005576	0.059
GO:0016064	kappa	GO:0002455	0.56
GO:0016064	kappa	GO:0051050	0.036
GO:0016064	kappa	GO:0018108	0.048
GO:0016064	kappa	GO:0001655	-0.023
GO:0016064	kappa	GO:0050865	0.15
GO:0016064	kappa	GO:0032940	0.009
GO:0016064	kappa	GO:0060090	-0.0046
GO:0016064	kappa	GO:0040011	0.0057
GO:0016064	kappa	GO:0072507	0.024
